a,b,c
	     ,-4.50442e-8, 588*X^2 - 1850*X + 505
$\ulam{3}{5}$,-2.37470e-10, -4*X^6 + 21*X^5 - 24*X^4 - 24*X^3 + 55*X^2 - 16*X + 5
             ,3.169020e-10, 4*X^8 - 10*X^7 - 7*X^6 + X^5 - 8*X^4 - 9*X^3 - 6*X^2 - 27*X - 8
	     ,-4.03680e-10, -3*X^9 + 7*X^8 + 7*X^7 + 7*X^6 - 13*X^5 - 10*X^4 - 9*X^3 + 9*X^2 + 3*X + 9
	     ,-2.66680e-9, 8*X^5 - 13*X^4 - 30*X^3 - 20*X^2 - 35*X + 65
	     ,-2.88864e-9, X^7 - 9*X^6 + 16*X^5 + 4*X^4 + 7*X^3 + 17*X^2 - 19*X + 12
	     ,8.852794e-9, 1215*X^2 - 3281*X - 1651
	     ,-9.19286e-9, 70*X^4 - 180*X^3 - 127*X^2 + 9*X + 7
	     ,-4.57386e-8, 151*X^3 - 465*X^2 + X - 84
$\ulam{3}{7}$,-3.98408e-10, -11*X^6 + 27*X^5 + 18*X^4 - 11*X^3 + 9*X^2 - 27*X + 7
             ,7.342393e-10, 3*X^7 - 4*X^6 - 14*X^5 + 4*X^4 - 16*X^3 + 21*X^2 + 10*X - 27
	     ,9.822986e-10, X^9 - 4*X^8 + 2*X^7 + 6*X^6 - 4*X^5 - 8*X^4 - 11*X^3 + 15*X^2 + X + 4
	     ,1.237459e-9, 8*X^5 + 7*X^4 - 77*X^3 - 36*X^2 + 26*X - 33
	     ,1.735089e-9, -8*X^8 + 21*X^7 + 5*X^6 + 5*X^5 + 3*X^4 - 15*X^3 - 2*X^2 - 2*X - 3
	     ,-5.90150e-9, 32*X^4 - 138*X^3 + 86*X^2 + 113*X + 51
	     ,1.692825e-8, -153*X^3 + 431*X^2 + 111*X - 213
	     ,1.124926e-7, -280*X^2 + 1744*X - 2703
$\ulam{5}{7}$,6.277041e-10, X^6 - 5*X^5 - 2*X^4 + 14*X^3 + 6*X^2 - X - 9
             ,6.277041e-10, X^6 - 5*X^5 - 2*X^4 + 14*X^3 + 6*X^2 - X - 9
	     ,6.277041e-10, X^6 - 5*X^5 - 2*X^4 + 14*X^3 + 6*X^2 - X - 9
	     ,8.119120e-10, 3*X^9 - X^8 - 9*X^7 + 2*X^6 - 7*X^5 + 3*X^4 - 8*X^2 + 5*X + 2
	     ,-2.51385e-9, -47*X^4 + 91*X^3 + 69*X^2 - 113*X - 35
	     ,-2.59506e-9, 25*X^5 - 29*X^4 - 41*X^3 + 15*X^2 - 13*X - 19
	     ,-2.33486e-8, -194*X^3 + 333*X^2 + 21*X + 141
	     ,-2.46964e-8, 595*X^2 - 1949*X + 1534
$\ulam{3}{10}$,-1.9814e-10, -6*X^7 + 23*X^6 - 14*X^5 - 3*X^4 - 9*X^3 + 14*X^2 - 21*X - 15
              ,2.11971e-10, -X^9 + 7*X^8 - 14*X^7 + 8*X^6 - 4*X^5 - 9*X^4 + 11*X^3 + X^2 + 7*X + 5
	      ,-5.9394e-10, 4*X^8 - 5*X^7 - 24*X^6 + 8*X^5 + 15*X^4 - 8*X^3 + 7*X^2 + 7*X + 5
	      ,-1.0460e-9, X^6 - 10*X^5 + 20*X^4 + 12*X^3 - 19*X^2 - 31*X + 5
	      ,-9.2122e-9, 12*X^4 - 58*X^3 + 94*X^2 - 62*X - 51
	      ,9.42486e-9, 5*X^5 - 16*X^4 + 12*X^3 - 9*X^2 - 50*X + 21
	      ,-1.6227e-8, -2*X^3 - 52*X^2 + 115*X + 160
	      ,8.20873e-8, -1034*X^2 + 2411*X + 1816
